State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Montana,1665325,155816,198208,1347355,126065,1265590,150631,644521,60.3,595903,70.9,558390,52.2,526122,62.6,879385,686740,99200,0,55080,574317,716366,1592,226264,280724,51027,375,226145,248640,50969,368,N/A,60.3,N/A,70.9,48.2,483354,57.5,644521,190440,92.3,172597,83.6,82852,79833,9726,186,452267,219082,806699,632149,68.9,556615,60.7,226245,278974,51021,375,1333211,145294,181487,644432,64,558364,55.4,226248,280719,51022,375,1347231,133704,165273,175012,31.3,174773,33.2,136554,44.3,94644,54.8,80386,91526,2876,224,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oklahoma,6052050,152947,201417,4977919,125801,4649189,154729,2514111,63.5,2325524,77.4,2057871,52,1920121,63.9,3250630,2497820,303600,0,137969,2027314,2811605,1031,803943,1122220,131554,154,803678,984845,131462,136,N/A,63.5,N/A,77.4,49,1802583,60,2514111,644451,99.9,531837,83.7,269825,241965,20011,36,1415204,222820,952881,2479839,74.6,2048473,61.6,803925,1112855,131539,154,4933975,148380,182004,2513941,67.9,2057829,55.6,803926,1122207,131542,154,4977718,134481,163505,456818,22.2,456363,23.8,361344,34.7,247593,46.6,204624,246519,5658,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Carolina,8433135,163791,208869,6312727,122608,5942236,147175,3131863,60.8,2916824,72.2,2668438,51.8,2508982,62.1,4560515,3455120,417500,0,207895,2466528,3636296,2008,983198,1492026,192880,334,981183,1335182,192285,332,N/A,60.8,N/A,72.2,48.6,2345364,58.1,3131863,913412,97.5,791399,84.5,337747,423368,30086,198,2057485,219577,899992,3090272,69.9,2655442,60.1,983107,1479165,192836,334,6259831,141626,190796,3130727,64.5,2667904,54.9,983123,1491609,192838,334,6311036,129957,173655,618815,23.2,618301,24.6,513536,34.6,365418,46.2,247317,359297,11786,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Missouri,9399435,153149,197184,7582491,123545,7086380,148660,3708091,60.4,3418499,71.7,3161508,51.5,2959275,62.1,5450935,3555600,392900,0,230445,2749794,4599946,2306,1105720,1831768,223480,540,1105273,1630342,223233,427,N/A,60.4,N/A,71.7,48.5,2773483,58.2,3708091,981376,92.4,868686,81.8,395286,434325,38914,161,2283067,214971,885038,3637914,69.5,3145003,60.1,1105707,1815304,223455,537,7494884,143149,179525,3707815,64.3,3161471,54.8,1105708,1831759,223464,540,7582192,131422,162920,788611,24.9,787900,26.6,617455,36.9,424044,48.8,312002,467358,9216,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana,10250710,152263,198494,7922343,117678,7414851,143581,3783544,56.2,3491901,67.6,3425724,50.9,3214835,62.3,6010230,3694680,545800,0,280801,2905437,4709475,26630,1207789,1943358,266847,7730,1207469,1733157,266575,7634,N/A,56.2,N/A,67.6,47.5,2985884,57.8,3783544,977884,90.1,925750,85.3,453498,438473,30045,3734,2392934,220396,944119,3721365,65.2,3412940,59.8,1207769,1930622,266822,7727,7848851,137578,179678,3783363,59.9,3425684,54.3,1207781,1943342,266831,7730,7922126,125472,162352,828521,24.2,827059,25.7,659139,36.3,450681,48.7,319540,497899,10668,414,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tennessee,10355880,151642,194691,8301835,121564,7851281,147605,3906487,57.2,3646111,68.5,3402932,49.8,3221902,60.6,5911260,3972520,472100,0,237831,3183910,4839044,41050,1244490,1930262,218481,9699,1243960,1750127,218208,9607,N/A,57.2,N/A,68.5,47.2,3039690,57.1,3906487,1020568,89.3,935328,81.8,463734,431764,34630,5200,2516728,220110,905715,3855664,66.1,3395723,58.2,1244466,1923135,218433,9689,8243305,141260,177461,3905955,60.8,3402814,53,1244475,1930198,218444,9697,8301178,129290,161292,872506,25.6,871228,27,687132,37.7,464962,49.7,366817,492480,11471,1738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4853660,160834,209422,3590467,118976,3329549,143661,1841081,61,1687144,72.8,1502315,49.8,1394794,60.2,2605260,2012100,236300,0,110221,1546048,1930702,3496,628437,768079,104863,936,627322,662359,104339,774,N/A,61,N/A,72.8,46.7,1303573,56.2,1841081,478235,91.3,405913,77.5,227861,162517,15092,443,1057121,201786,926480,1809420,70.8,1493679,58.4,628425,759707,104742,805,3550273,138832,189800,1839630,65,1502144,53.1,628426,768037,104746,935,3588955,126848,171547,349229,23.2,348873,25,274918,35.1,188753,46.5,165870,178353,4614,392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,17559415,165383,216421,12392685,116720,11561080,142491,6305789,59.4,5806066,71.6,5241622,49.4,4910240,60.5,9853715,6945500,760200,0,305519,4933183,7140765,13218,2016768,2926440,294232,4182,2015882,2596657,293779,3922,N/A,59.4,N/A,71.6,46.9,4653065,57.3,6305789,1382967,91.2,1201502,79.2,653565,512132,33831,1974,3125350,206028,1157540,6220735,69.2,5229265,58.2,2016704,2914273,294114,4174,12294226,136783,195363,6304359,63.3,5241410,52.6,2016717,2926361,294150,4182,12391110,124398,176284,977343,18.6,976152,19.9,744800,28.9,472542,39.3,448571,517479,10957,336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virgin Islands,127400,119861,156306,122046,114824,115942,142248,60879,57.3,57438,70.5,52419,49.3,49768,61.1,91260,33940,2200,0,1892,35962,84192,0,14814,35817,1783,5,14786,33201,1776,5,N/A,57.3,N/A,70.5,47.7,48060,59,60879,16727,81.7,14729,71.9,5836,8383,506,4,34876,170310,622131,60467,67.6,52309,58.5,14806,35718,1780,5,121534,135906,142466,60821,61.1,52394,52.6,14807,35802,1780,5,121963,122423,127881,7776,14.8,7771,15.6,6493,21.4,4050,27.5,2671,5051,52,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Dakota,1164170,152766,200067,914552,120010,857587,147379,446013,58.5,413181,71,375065,49.2,353052,60.7,654990,459580,49600,0,36118,363511,514612,311,139646,201601,33815,3,139442,179933,33674,3,N/A,58.5,N/A,71,45.5,324907,55.8,446013,116396,97.1,98697,82.4,47351,47102,4244,0,269433,224818,971396,436637,68.5,372721,58.5,139641,199266,33811,3,901760,141509,182688,445953,63,375054,53,139642,201598,33811,3,914482,129171,164440,108061,28.8,107977,30.6,82245,43.6,55478,56.2,50144,56371,1545,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Louisiana,6704260,144215,188260,5306686,114152,5012010,140741,2602583,56,2431558,68.3,2285404,49.2,2161435,60.7,3714180,2693380,296700,0,178494,2190016,2935405,2771,913595,1205294,165519,996,913093,1082014,165343,985,N/A,56,N/A,68.3,46,2015232,56.6,2602583,660878,89.2,625528,84.4,297121,306276,21925,206,1568632,211685,904732,2581806,65.8,2282677,58.2,913571,1202618,165493,995,5283537,134670,170882,2602408,59.9,2285351,52.6,913581,1205275,165499,996,5306465,122063,154216,502804,22,502259,23.2,407143,33,276804,44.3,206748,289998,6042,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Virginia,3414545,190528,238349,2136465,119213,2021499,141109,1242418,69.3,1174781,82,880724,49.1,832942,58.1,1935045,1329200,150300,0,50845,904670,1180256,694,362345,466225,51842,312,361927,418970,51764,281,N/A,69.3,N/A,82,46.3,782816,54.6,1242418,434372,99.9,295902,80.6,146487,141283,7999,133,753714,205366,930366,1236898,79.4,880150,56.5,362253,465759,51826,312,2131127,136800,219185,1241941,73.1,880470,51.8,362258,466073,51827,312,2135683,125693,200959,68051,7.7,67926,8.2,54719,10.6,38380,13,22725,44657,650,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mississippi,4479865,150526,196695,3217870,108122,3026843,132898,1610009,54.1,1499761,65.8,1402325,47.1,1320567,58,2456325,1816240,207300,0,81113,1319873,1814751,2133,553432,769991,78244,658,553117,688659,78153,638,N/A,54.1,N/A,65.8,44.8,1250341,54.9,1610009,428548,88.1,394887,81.1,201679,175818,17074,316,968168,198928,920470,1599131,63.4,1401861,55.6,553421,769552,78230,658,3206552,127172,177672,1609890,57.6,1402297,50.2,553424,769982,78233,658,3217735,115221,160415,260875,18.6,260533,19.7,221515,28.5,153478,38.9,123330,134366,2931,248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,7868950,160487,206270,5335387,108815,5051965,132428,2797899,57.1,2628540,68.9,2278670,46.5,2165246,56.8,4122990,3375860,370100,0,156887,2349997,2828197,306,967363,1158954,151824,529,966904,1046077,151738,527,N/A,57.1,N/A,68.9,43.8,2035146,53.3,2797899,777867,91.5,669562,78.8,355510,278067,35639,346,1669661,196468,925936,2773769,66.2,2276813,54.4,967351,1157118,151815,529,5308921,126799,187943,2797561,60.7,2278612,49.4,967359,1158907,151817,529,5335004,115756,170736,471331,20.7,470731,21.7,392114,30.4,273271,40.8,226835,236922,7553,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wyoming,821905,142012,184687,644277,111320,608211,136669,313458,54.2,291945,65.6,266049,46,251560,56.5,413785,364220,43900,0,26975,285848,330879,575,111203,130162,24580,104,111184,115718,24556,102,N/A,54.2,N/A,65.6,42.2,230013,51.7,313458,89594,90.3,80618,81.3,41067,35759,3744,48,208695,210423,828709,309070,63,265385,54.1,111202,129502,24577,104,639264,130270,167489,313433,57.6,266044,48.9,111202,130160,24578,104,644249,118466,151133,75900,28.5,75790,30.1,61530,41.9,43254,53.7,34270,40625,976,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2783520,155759,207902,1919828,107429,1918290,143277,912954,51.1,909548,67.9,812748,45.5,810676,60.5,1556340,1083080,144100,0,76594,785837,1054685,2712,311244,427650,73209,645,311217,425633,73187,639,N/A,51.1,N/A,67.9,41.9,747320,55.8,912954,266398,91.6,244563,84.1,112351,120192,11746,274,637582,219349,957622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242989,29.9,242984,30,189237,41.9,128917,52.7,103480,136234,3232,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,104820,102443,157095,80421,78598,78259,117288,47853,46.8,46647,69.9,42544,41.6,41557,62.3,12180,80440,12200,0,12428,65770,2221,2,29614,1138,11790,2,29609,179,11767,2,N/A,46.8,N/A,69.9,30.3,30027,45,47853,3642,75.7,3384,70.3,2311,9,1064,0,6193,128699,2178300,47836,60.4,42535,53.7,29613,1138,11782,2,80406,101597,132445,47848,51.5,42540,45.8,29614,1138,11786,2,80416,86636,112927,1456,3.4,1453,3.5,612,4.9,186,5.5,1320,10,126,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indian Health Svc,2449865,117623,N/A,1905425,91483,1728429,N/A,993142,47.7,888394,N/A,794291,38.1,722482,N/A,1222945,1129820,97100,0,36497,926128,942632,168,376932,381745,35608,6,376613,310319,35544,6,N/A,47.7,N/A,N/A,36.5,688926,0,993142,169183,0,135639,0,76404,55918,3316,1,353495,0,0,971651,0,790121,0,376854,377676,35585,6,1879725,0,0,992837,0,794152,0,376863,381697,35586,6,1904958,0,0,144771,18.2,144441,20,97763,27.8,48833,36,67927,75971,755,118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marshall Islands,67080,86287,141135,45554,58597,43158,90804,24864,32,23560,49.6,22026,28.3,21078,44.3,7680,47700,11700,0,2313,40810,2429,2,18740,983,2302,1,18706,78,2293,1,N/A,32,N/A,49.6,25.4,18794,39.5,24864,1346,36.1,1210,32.4,1103,1,106,0,2534,67899,1797430,24797,43.2,22010,38.4,18732,978,2299,1,45470,79259,116927,24852,35.9,22019,31.8,18735,982,2301,1,45536,65805,96939,639,2.9,638,3,245,4.8,74,6.1,632,7,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
